Stop ID,Total_HH,HH_Size,Med_Income,Educ_Emp,Base_Emp,Service_Emp,Ret_Emp,Leis_Emp,HC_Emp
17001,654,1.256206897,19454,18,83,310,125,121,283
17005,1152,2.248333333,48649.75,92,22,78,3,4,24
17006,574,2.281176471,32982.35294,0,29,144,116,152,0
17007,1962,1.481458333,18767.25,106,332,1410,648,391,616
17008,740,2.1728,35808.78,315,45,154,45,129,751
17009,889,2.102,24139.1,30,159,366,99,86,154
17010,1015,1.922368421,25491.18421,115,60,82,2,1,269
17011,408,1.712352941,28633.11765,0,100,183,181,191,0
17012,524,2.308863636,32784.75,15,5,27,2,4,8
17013,1663,1.258837209,13242.4186,75,425,4396,1116,573,5707
17014,1638,1.685,20595.5,69,201,395,639,128,148
17015,1097,1.555,26322.61538,24,61,81,17,105,6
17016,1188,2.105588235,26310.58824,82,68,224,53,20,552
17017,1025,1.157906977,12651.18605,56,829,4468,866,1273,433
17018,1241,1.785306122,22180.67347,95,164,273,276,72,401
17019,139,1.168518519,14513.14815,0,154,116,73,52,0
17020,632,2.203333333,38872.39583,80,26,109,48,107,52
17021,1071,1.427068966,18803.53448,19,636,1944,910,484,1075
17022,1075,2.34047619,53082.52381,0,9,28,2,59,4
17023,945,2.17625,36988.25,131,77,204,196,32,689
17024,1987,1.975172414,28759.96552,151,505,1225,1654,1082,911
17025,900,2.161724138,36047.03448,57,57,151,171,27,533
17026,887,2.155714286,36018.78571,57,57,149,171,27,533
17027,696,2.220869565,31770.82609,35,134,232,72,67,188
17030,1141,1.968648649,25563.45946,52,175,844,908,570,349
17031,2333,2.235909091,32947.77273,250,204,945,546,699,1159
17032,736,1.439090909,15216.90909,166,1205,1669,309,154,580
17033,855,2.149090909,47030.40909,3,16,106,0,59,81
17034,1180,2.047368421,26117.71053,33,360,677,589,227,216
17035,2252,1.852222222,20406.15556,392,159,566,401,139,1069
17036,736,1.319166667,13948.83333,166,1293,1691,323,161,580
17037,1171,1.262619048,14384.42857,57,890,5140,1259,1455,420
17038,1254,2.036136364,24541.63636,108,244,1553,985,621,409
17039,1251,2.167777778,53961.38889,4,17,229,4,3,124
17041,534,2.058333333,46847,82,81,22,32,0,32
17042,1035,2.167,30732.63333,51,171,292,89,86,301
17043,1553,1.5475,20180.25,15,107,490,444,236,88
17044,642,1.46875,18822.33333,280,104,1246,255,206,937
17045,1334,1.82,22308.55263,87,595,1844,432,385,1059
17046,405,1.977272727,32743.54545,0,88,183,181,191,0
17048,286,2.678,44228.8,0,31,204,2,0,28
17049,1034,2.214736842,46825.10526,24,25,138,3,0,104
17050,901,2.234,51599.6,38,17,44,3,5,217
17051,602,1.458974359,17679.82051,331,127,1829,521,410,1036
17052,1369,1.516222222,15779.62222,30,391,2764,695,1320,476
17053,932,1.950882353,28710.14706,28,136,359,128,128,336
17055,2626,1.696666667,17434.02564,128,247,681,275,250,890
17056,616,2.1685,30946.45,0,106,215,178,197,0
17057,457,1.802666667,30485.6,0,100,183,181,191,0
17058,862,1.496590909,17389.90909,99,137,1716,1362,846,551
17059,352,1.893333333,28266.66667,21,69,176,273,130,72
17060,365,1.208378378,15131.59459,256,327,1073,443,324,1126
17061,880,2.405,35127.57143,77,21,19,120,0,56
17062,603,2.459090909,41838,0,43,216,2,8,42
17063,575,2.14,53638.5,42,18,35,0,0,68
17064,530,2.195227273,38806.86364,2,7,154,5,14,9
17065,103,1.034285714,18617.64286,110,227,137,78,57,0
17066,1279,1.728846154,19077.32692,66,285,235,556,335,280
17068,548,1.7765,25805.55,78,164,441,369,140,2879
17069,488,2.190697674,37130.25581,1,11,138,5,4,8
17070,1525,1.939583333,20697.27083,66,423,272,281,94,75
17071,1397,2.302666667,39740,134,28,84,3,4,22
17072,358,1.847407407,24938.62963,0,154,114,64,45,0
17073,871,1.705714286,23067.83673,21,164,341,97,53,135
17074,552,2.551875,34438.71875,1576,55,613,78,128,243
17075,1230,2.081346154,22408.21154,240,65,462,215,153,117
17077,2156,1.752222222,17719.63889,69,236,551,227,205,596
17079,971,2.242222222,46057.33333,24,25,137,3,0,100
17080,1780,2.16625,41316.91667,116,53,339,176,69,234
17081,1315,1.507446809,17334.65957,177,124,451,271,350,77
17083,1500,1.218518519,16880.7037,0,137,1223,302,934,569
17084,923,1.969736842,26461.28947,33,370,663,441,183,194
17085,747,2.265625,35852.8125,88,18,57,155,19,149
17086,936,2.101568627,27661.21569,239,48,251,47,56,211
17088,3182,2.336451613,22913.70968,408,274,781,510,251,1391
17089,511,2.162631579,39333.65789,1576,56,589,81,132,243
17090,1130,1.82509434,24235.98113,52,307,515,372,165,388
17091,1305,1.79,22198.71053,87,568,1776,419,374,925
17093,1087,1.6566,22665.58,54,147,378,235,322,152
17094,445,2.675,50144.42857,82,84,23,31,1,31
17095,593,2.136666667,34690,75,18,10,5,0,25
17096,1127,1.84,24180.7,76,282,313,262,84,267
17097,2063,1.890285714,21788.22857,370,145,561,404,139,1027
17098,1087,2.325555556,53595.14815,24,28,157,5,15,104
17099,1068,2.315172414,29884.37931,94,337,448,265,185,311
17100,1657,1.424102564,17591.84615,1,146,248,579,357,248
17101,975,2.075217391,30759.56522,75,78,250,58,18,735
17102,811,2.110833333,54948.75,48,8,30,3,5,216
17104,1497,1.634423077,22683.69231,78,127,316,142,65,94
17105,608,2.201190476,37571.16667,1,63,142,48,113,39
17106,1980,1.947096774,27866.32258,417,181,470,200,80,1028
17108,789,2.379375,28557.96875,1579,55,775,83,137,243
17109,656,2.130238095,32227.52381,318,31,120,22,28,1070
17110,803,1.719361702,24265.40426,173,75,145,36,23,137
17111,1185,2.662777778,41196.22222,88,54,143,478,157,246
17112,786,2.303478261,40669.26087,16,49,97,4,3,92
17113,911,1.727647059,22332.62745,101,163,204,251,35,215
17114,749,2.336785714,55964.07143,15,27,91,35,95,11
17115,887,1.963103448,27272.41379,63,683,564,268,215,273
17116,1686,1.575384615,18359.23077,214,1692,2448,2178,1279,1268
17117,1123,1.755517241,28938.82759,104,150,557,1162,701,371
17118,599,1.879444444,28484.5,168,466,674,151,503,767
17119,1149,1.676923077,23101.53846,136,148,366,222,311,161
17120,1621,1.827368421,29472.68421,148,247,1433,1649,1192,1033
