STOP_ID,BUFFER_AREA_SQMI,STOP_NAME,WKDAY_ON,WKDAY_OFF,WKDAY_TOTAL,WKDY_TOTAL_Log,WKDAY_TRIPS,ON_PER_TRIP,TOTAL_PER_TRIP,SAT_ON,SAT_OFF,SAT_TOTAL,Y,X,TOTALPOP,TOTALJOBS,WKDAY_TRIPS,JOB_POP_SQMI,POP_SQMI,JOBS_SQMI,JOB_POP_SQMI
17024,0.196147739,N Reserve St & England Blvd,2,2,4,0.602059991,2,1,2,0,0,0,46.89403229,-114.040944,233,184,2,186,1188,938,2126
17115,0.196147739,Expressway & Canyon Creek Blvd,1,0,1,0,2,0.5,0.5,0,0,0,46.915297,-114.06393,104,56,2,58,530,285,815
17139,0.196147739,N Reserve St & Expressway,1,2,3,0.477121255,2,0.5,1.5,0,0,0,46.904863,-114.039226,215,238,2,240,1096,1213,2309
17230,0.196147739,Airway Blvd & Harrier Dr,0,2,2,0.301029996,2,0,1,0,0,0,46.92152292,-114.068811,60,56,2,58,306,285,591
17368,0.196147739,Majestic Dr & Wheeler Dr,3,0,3,0.477121255,2,1.5,1.5,0,0,0,46.91407453,-114.057115,169,56,2,58,862,285,1147
17391,0.196147739,Expressway at the Crestview Apartments,2,0,2,0.301029996,2,1,1,0,0,0,46.907887,-114.052233,276,56,2,58,1407,285,1692
17418,0.196147739,Harrier Dr & TechNology Way,1,1,2,0.301029996,2,0.5,1,0,0,0,46.91960506,-114.065524,60,56,2,58,306,285,591
18005,0.196147739,Aviation Way & Liquid Planet,5,1,6,0.77815125,6,0.83,1,0,0,0,46.92069103,-114.08243,60,56,6,62,306,285,591
17018,0.196147739,S 3rd St W & S Inez St,0,0,1,0,6,0,0.17,0,0,0,46.86708552,-114.016142,1048,383,6,389,5343,1953,7296
17023,0.196147739,S 3rd St W & Darlene Dr,1,0,1,0,6,0.17,0.17,0,0,0,46.8668337,-114.037188,924,171,6,177,4711,872,5583
17025,0.196147739,S 3rd St W & S Grove St,1,1,2,0.301029996,6,0.17,0.33,0,0,0,46.86685751,-114.042598,447,115,6,121,2279,586,2865
17026,0.196147739,S 3rd St W & S Grove St,1,2,2,0.301029996,6,0.17,0.33,0,0,0,46.86696816,-114.042743,432,114,6,120,2202,581,2783
17031,0.196147739,Connery Way & Chelsea Dr,0,3,3,0.477121255,6,0,0.5,0,0,0,46.8932644,-114.046175,276,56,6,62,1407,285,1692
17041,0.196147739,South Ave W & Clements Rd,4,1,4,0.602059991,6,0.67,0.67,0,0,0,46.84867431,-114.080456,136,88,6,94,693,449,1142
17048,0.196147739,S 7th St W & Howard St,1,1,1,0,6,0.17,0.17,0,0,0,46.86320796,-114.073957,190,88,6,94,969,449,1418
17059,0.196147739,Harrier Dr & Technology Way,2,2,4,0.602059991,6,0.33,0.67,0,0,0,46.91970363,-114.065389,60,56,6,62,306,285,591
17061,0.196147739,S 3rd St W & Hiberta St,1,4,4,0.602059991,6,0.17,0.67,0,0,0,46.86663623,-114.052794,239,88,6,94,1218,449,1667
17062,0.196147739,S 7th St W & Grace Ct,0,0,0,0,6,0,0,0,0,0,46.863265,-114.067417,198,88,6,94,1009,449,1458
17073,0.196147739,S 3rd St W & Cottonwood St,0,1,2,0.301029996,6,0,0.33,0,0,0,46.86692177,-114.004735,915,440,6,446,4665,2243,6908
17085,0.196147739,S 3rd St W & Short St,0,1,1,0,6,0,0.17,0,0,0,46.86686599,-114.047216,231,88,6,94,1178,449,1627
17094,0.196147739,South Ave W & 37th Ave,0,0,0,0,6,0,0,0,0,0,46.84867716,-114.07078,168,88,6,94,856,449,1305
17095,0.196147739,S 7th St W & Gladis Dr,0,0,0,0,6,0,0,0,0,0,46.86341245,-114.057212,334,88,6,94,1703,449,2152
17099,0.196147739,Majestic Dr & Wheeler Dr,4,5,9,0.954242509,6,0.67,1.5,0,0,0,46.9141869,-114.057107,165,56,6,62,841,285,1126
17104,0.196147739,S 3rd St W & Walnut St,0,0,0,0,6,0,0,0,0,0,46.86710131,-114.008259,1015,441,6,447,5175,2248,7423
17113,0.196147739,S 3rd St W & S California St,1,1,1,0,6,0.17,0.17,0,0,0,46.86693208,-114.013599,1073,437,6,443,5470,2228,7698
17118,0.196147739,Expressway at the Crestview Apartments,2,3,5,0.698970004,6,0.33,0.83,0,0,0,46.90813921,-114.052257,276,56,6,62,1407,285,1692
17125,0.196147739,Clements Rd & S 7th St W,1,1,2,0.301029996,6,0.17,0.33,0,0,0,46.86317699,-114.080581,163,88,6,94,831,449,1280
17129,0.196147739,South Ave W & 35th Ave,0,0,0,0,6,0,0,0,0,0,46.84879797,-114.066049,171,88,6,94,872,449,1321
17149,0.196147739,Hiberta St & James St,0,0,0,0,6,0,0,0,0,0,46.86489623,-114.052592,300,88,6,94,1529,449,1978
